EC	A007	A008	A011	A016	A020	A024	A025	A033	A035	A036	A040	A042	A045	A052	A056	A060	A063	A002	A004	A006	A012	A014	A015	A018	A022	A026	A028	A030	A031	A032	A041	A044	A047	A050	A051	A057	A061	A062
Alpha-galactosidase (3.2.1.22)	0.00572923	0.00468442	0.00866096	0.00827505	0.0101192	0.00839527	0.00588295	0.00742265	0.00462037	0.00279564	0.00263083	0.0101929	0.00561305	0.0070212	0.0116765	0.00924197	0.00654387	0.00571544	0.00457021	0.00595562	0.0102049	0.0084542	0.00665414	0.0098098	0.00696012	0.00479624	0.00637376	0.00617759	0.007509	0.00576968	0.0119686	0.00913969	0.00843266	0.00944561	0.00519114	0.00769021	0.00252884	0.00480635
Beta-galactosidase (3.2.1.23)	0.0127812	0.00752113	0.0165841	0.0132844	0.0136087	0.0183687	0.0112067	0.0157565	0.0106622	0.00753575	0.00496912	0.0176969	0.00851044	0.0132677	0.0132223	0.0156092	0.0113334	0.0133169	0.00771696	0.010384	0.016655	0.0149377	0.00958618	0.0162933	0.0148265	0.0122659	0.0148552	0.00786593	0.0141512	0.0112104	0.0179443	0.0131797	0.01753	0.017446	0.00916586	0.0127222	0.00604676	0.0126153
Beta-mannosidase (3.2.1.25)	0.000603778	0.000144037	0	0.000798058	0.000797102	0.00109915	0.000561656	0.0002525	5.4654e-05	0	0	0.000371086	8.39242e-05	2.98418e-05	0.00196977	0.000367109	0.000563063	6.37085e-05	2.37784e-05	9.58115e-05	0.00127476	5.60906e-05	0	0.00152691	0.000185103	0.000228532	0.000243823	0.000384563	0.000194959	6.15602e-05	0.0016593	0.0013762	0.000572575	0.00122123	0.000292186	0.000869903	7.05379e-05	0
Beta-fructofuranosidase (3.2.1.26)	0.000671719	0.00200055	0.000435189	0.000880885	0.000348129	0.000551761	0.00100449	0.000766427	0.000616354	0.00159556	0.00120995	0.000580473	0.000199419	8.55624e-05	0.000203934	0.000619158	0.000438978	0.000104034	0.000149135	0.0002105	0.000655711	0.000459559	0.000189486	0.000688329	0.000302589	0.00116438	0.000281769	0	0.000602465	0.000172225	0.000835504	0.00059774	0.000651002	0.000290979	0.000757506	0.000797978	0.000793086	0.000757821
Alpha,alpha-trehalase (3.2.1.28)	0.000438692	8.96261e-05	0.000364918	0.000490488	0.000382898	0.000458388	6.90919e-05	0.000343798	0.00012647	0.000271297	0.000734387	0.000139973	6.92214e-05	3.91647e-05	0.000129145	0.000132066	0.000110586	1.80806e-05	0	4.31006e-05	0.000391326	4.75121e-05	0	0	0	0.000320961	0	0.000442732	0.000184178	0	5.44188e-05	0.000301952	0.000569706	0.000453832	3.43713e-05	0	0.000914647	0
Glucan 1,4-alpha-glucosidase (3.2.1.3)	0.000126996	5.67594e-05	0	0.000297169	0.000520436	0.000243634	4.45449e-05	0.000130762	0.000112348	1.03337e-05	8.65419e-06	0.000458691	1.56493e-05	1.93109e-05	0.000972705	0.000317066	7.99959e-05	0	1.14085e-05	2.16293e-05	6.54438e-05	0.000103108	0	0.000144284	0.000128586	8.91761e-05	8.75963e-05	1.14054e-05	6.97461e-05	4.54954e-05	0.000232209	4.66713e-05	0.000164717	0.000100747	3.8604e-05	4.96029e-05	9.20424e-05	3.44949e-05
Beta-glucuronidase (3.2.1.31)	0.000976816	0.000197215	0.000109198	0.00103066	0.00112138	0.00142705	0.000431827	0.000791808	5.74754e-05	0.00122013	0.000635493	0.00119404	0.000298735	0.000977893	0.00187163	0.00162162	0.000456731	0.000653121	7.74667e-05	0.000176062	0.00115049	0.000497759	0.000137846	0.000328352	0.000649371	0.000551113	0.000443739	0.000408391	0.000507318	0.00103247	0.0017467	0.000244158	0.00153386	0.00102906	0.000289918	0.00102309	0.000453167	0.000127638
Xylan 1,4-beta-xylosidase (3.2.1.37)	0.00138067	0.00110023	0.000371637	0.00205737	0.00170865	0.00165966	0.00143661	0.00147819	0.000672312	0.00160464	9.38244e-05	0.00260148	0.000231037	0.000371035	0.00306025	0.00158003	0.000815152	0.00034061	0.000109384	0.000249759	0.00142824	0.0011527	0.000164108	0.00146912	0.00141722	0.0011306	0.00147446	0.000811042	0.00125273	0.000273605	0.00317216	0.000727907	0.00150253	0.00122512	0.0011332	0.00198208	0.00087211	0.00102861
Cellulase (3.2.1.4)	0.00235956	0.000400141	0.000204592	0.00142448	0.000887245	0.00278413	0.0011515	0.00173474	0.000490064	0.00134745	0.000746969	0.000547941	0.00149273	0.00211873	0.00143435	0.00169908	0.00217016	0.0020752	0.00260776	0.00158384	0.00179304	0.000411995	0.00249462	0.000638496	0.000418678	0.00143988	0.000840425	0.000397987	0.00115636	0.00221056	0.00141846	0.000752091	0.00311396	0.00153179	0.00127359	0.00244406	0.000884099	0.00053281
Alpha-L-rhamnosidase (3.2.1.40)	0.000359383	0.000106314	0.000894551	0.00033019	0.000507285	0.000574889	0.000573291	0.000512759	0.000842868	0	1.42612e-05	0.00037841	0.000106948	0.000414374	0.000294047	0.000839001	0.000388857	1.56092e-05	9.01741e-05	0.00020131	0.00133216	0.00081371	0	0.00119502	0.0015977	0.000400037	0.000792227	0.000246215	0.000688438	0.00022444	0.000781508	0.00104957	0.000915679	0.0010829	0.000269907	0.000404689	5.5017e-05	0.00158671
Pullulanase (3.2.1.41)	0.000709791	0.000264569	0.000105415	0.000763444	0.000512858	0.000827609	0.000509668	0.000574973	0.000224877	0.000424933	0.000798774	0.000887845	0.0023844	0.00285125	0.000905729	0.000880496	0.00185191	0.00317052	0.00328605	0.00189148	0.000793634	0.000436486	0.00379475	0.000332076	0.000392421	0.000501175	0.000345282	0.000492437	0.000489942	0.00299599	0.00160084	0.00122008	0.000736934	0.000569967	0.000422867	0.000685715	0.000306887	0.00023887
Alpha-N-acetylgalactosaminidase (3.2.1.49)	0.000534761	0.000151337	0	0.000331219	0	0.000572753	0.000112995	0.000210953	0.000106842	0	0	0.000392884	1.50902e-05	0.000133883	0	0.000158929	1.44625e-05	0	1.5391e-05	3.7456e-05	3.86613e-05	0.000109023	0	0.000199857	1.90393e-05	0.000243714	3.45901e-05	0.000460781	0.00021095	5.27755e-05	0.000346658	0.000258803	0.00047591	0.000303327	2.88997e-05	0.000461696	9.2476e-05	0
Alpha-N-acetylglucosaminidase (3.2.1.50)	0.00068425	0.000240561	0.00372434	0.000572798	0.00317659	0.000567544	0.00037998	0.000722296	0.000685534	0	1.843e-05	0.000752082	0.000148392	0.000757093	0	0.000167454	0.000487001	8.88609e-05	6.35785e-05	0.000287097	0.00263772	0.00223114	3.49001e-05	0.00241957	0.00034145	0.000250089	0.000238877	0.000611057	0.00138013	0.000107416	0.00238028	0.000567376	0.000596892	0.00143227	0.000441532	0.000613671	0	0.000146418
Alpha-L-fucosidase (3.2.1.51)	0.000380879	0.000403204	0	0.000529484	0.000145054	0.000440184	0.000235088	0.0003393	3.70326e-05	0.000302487	2.06463e-05	0.000496107	5.33971e-05	0.000171062	6.86048e-05	0.000780508	0.000148427	2.59787e-05	3.26447e-05	5.20542e-05	0.000425387	0.000117663	0	0.000225803	2.98183e-05	0.000324738	0.00020278	0.000897652	0.000619202	0.000167636	0.000590515	0.000395604	0.000438045	0.000701514	9.68485e-05	0.000503647	0.000170091	8.81614e-05
Beta-N-acetylhexosaminidase (3.2.1.52)	0.00405268	0.00229189	0.00481181	0.00402915	0.00382715	0.00426004	0.00251203	0.00343481	0.00342592	0.00100712	0.000612055	0.00553526	0.000497409	0.0013208	0.00350668	0.0047257	0.00203641	0.000282902	0.000330795	0.000814443	0.00488899	0.00473349	4.24074e-05	0.00478146	0.00338126	0.00343343	0.0026023	0.00329935	0.00382907	0.00105136	0.0054525	0.00339136	0.00429959	0.00532978	0.00114838	0.00323119	0.00133433	0.00288666
Cyclomaltodextrinase (3.2.1.54)	0.00135032	0.000281541	0.000260504	0.000855839	8.25577e-05	0.00138982	0.000633379	0.000713281	0.000189805	0.000125689	2.606e-05	0.000438253	6.85274e-05	0.000133917	9.14211e-05	0.00114793	0.000526232	9.71748e-05	4.87274e-05	0.000181563	0.000987719	0.000351986	1.37168e-05	0.000237589	0.000184351	0.000757283	0.000463195	0.000259842	0.000477352	0.000187349	0.000396162	0.000229072	0.00155152	0.00118261	0.000208304	0.000968562	0.000691959	6.16703e-05
Non-reducing end alpha-L-arabinofuranosidase (3.2.1.55)	0.00305944	0.0012892	0.00372955	0.00343089	0.00495132	0.00415969	0.00241836	0.00292948	0.00174681	0.00208244	0.00165199	0.00426998	0.00572282	0.00801702	0.00294643	0.00528785	0.00557497	0.00711663	0.00857256	0.00285279	0.00473474	0.00380124	0.00893488	0.003536	0.00335241	0.00262449	0.00236861	0.000918133	0.00278786	0.0076732	0.0065463	0.00526177	0.0040661	0.00424266	0.00147035	0.00358937	0.00118048	0.00209535
Licheninase (3.2.1.73)	0.000775015	0.000223337	0.00102113	0.00106019	0.000484751	0.000936189	0.000230322	0.000452543	0.000108223	0	2.74087e-05	0.00183211	6.68998e-05	0.00169001	7.40874e-05	0.00100939	0.000317508	0	0	0.000122946	0.000505429	0.00103336	0	0.000419032	0.000228988	0.000682953	0.000359196	0.000254433	0.000309856	0.000138748	0.00107203	0.00034706	0.000643282	0.0015005	0.000102031	0.0006216	6.46161e-05	0.000770126
Mannan endo-1,4-beta-mannosidase (3.2.1.78)	0.000612217	0.000125745	0	0.000800774	0.00081483	0.000852735	0.000781563	0.00115908	5.93592e-05	3.27387e-05	3.70515e-05	0.00102172	0.000300171	7.15873e-05	0.00106852	0.000895222	0.000247067	9.75448e-05	0.000171008	0.000141607	0.000857022	0.000483132	0.000481512	0.000156071	0.00112585	0.000695548	0.000881068	0.000228221	0.000338854	0.00023993	0.000367761	0.000181692	0.000802191	0.00091381	0.000692964	0.00122912	0.000333291	0.000186066
Endo-1,4-beta-xylanase (3.2.1.8)	0.00143836	0.000292402	0.00138388	0.00118383	0.00350146	0.0013012	0.00109203	0.00107106	0.000768914	0.00200085	0.00122195	0.00209741	0.0049599	0.00474069	0.00134483	0.00179797	0.00312508	0.00509017	0.00579692	0.00392708	0.001866	0.00159628	0.00633769	0.000808084	0.00156933	0.00114491	0.00273836	0.000482575	0.000996459	0.0049641	0.00381857	0.00245904	0.0019403	0.000856376	0.00120291	0.00186797	0.000573145	0.00149255
Fructan beta-fructosidase (3.2.1.80)	0.000699297	0.000297275	0.000696399	0.00084989	0.000661905	0.00101418	0.000495638	0.000769023	0.000126451	3.43678e-06	0.000419753	0.0012196	0.00122871	0.00116962	0.000414923	0.00064856	0.000342577	0.00143738	0.00153116	0.000538604	0.00109418	0.000954658	0.00149922	0.000831654	0.000263674	0.000518226	0.000413714	0.00064171	0.00072404	0.00103076	0.0013422	0.00122337	0.000797728	0.00103028	0.000218275	0.00064476	0.000150636	8.95877e-05
Exo-poly-alpha-digalacturonosidase (3.2.1.82)	0.000998014	0.000138946	0.00209383	0.00113613	0.0020489	0.00111791	0.000916877	0.000996996	0.000561873	0.000261396	6.85217e-05	0.00260901	0.000127213	0.000339581	0.00313808	0.00126971	0.000544188	8.95531e-05	0.000106665	0.000231282	0.00123327	0.0017975	4.8578e-05	0.00185536	0.00177792	0.000849869	0.00132404	0.000316441	0.000941456	0.00026295	0.00264135	0.00108307	0.00119285	0.000985082	0.000474204	0.000713001	8.45568e-05	0.00115313
Kappa-carrageenase (3.2.1.83)	3.38662e-05	0.000318056	0	6.67802e-05	0	2.12202e-05	7.39289e-05	0	0.000200736	0.000276189	0	5.15877e-05	6.20343e-05	5.61875e-05	0	0	3.53685e-05	8.7914e-06	0	3.62892e-05	9.2658e-05	0.000109442	0	0	0.000174014	0.00019604	1.96872e-05	0.000153182	8.05899e-05	0.000141175	0.00015063	0.000121085	0	8.88074e-05	0.000113287	0.000128766	7.11618e-05	2.98429e-05
6-phospho-beta-glucosidase (3.2.1.86)	0.000806816	0.000827306	0.000887804	0.000445732	0.000767663	1.14494e-05	0.000585311	2.92481e-05	0.000397602	0.00201939	0.00269931	0.000147539	0.000272706	0	0.000361955	0.000640104	0	1.74355e-05	7.15336e-05	7.01117e-05	1.47207e-05	0.000113521	0.000102685	0.000111576	6.52736e-05	0.000346206	0	0.000828536	0.000263678	4.20698e-05	8.098e-06	0.000513851	3.78447e-05	1.41968e-05	0.000227355	6.78756e-05	0.00194484	0.000186539
Arabinogalactan endo-beta-1,4-galactanase (3.2.1.89)	0.000866766	0.000457746	0.00149507	0.000865424	0.0011231	0.00104346	0.00153564	0.00105194	0.000622531	0.00191595	0.000472741	0.00115895	0.00127566	0.00162719	0.0012355	0.00130668	0.00168546	0.00121061	0.0016747	0.0018852	0.00120956	0.00163471	0.00227768	0.000771496	0.00145554	0.0017284	0.00216634	0.000552155	0.00149479	0.00202743	0.00163839	0.000750069	0.00159904	0.000697219	0.00188925	0.00103338	0.000439873	0.00177817
Cellulose 1,4-beta-cellobiosidase (non-reducing end) (3.2.1.91)	0.000118484	0.000214293	6.375e-05	3.70094e-05	2.59175e-05	2.73485e-05	0.000418569	0.000266847	0.000174682	0	8.30685e-06	0.000123169	3.37187e-05	1.63694e-05	0.000135046	0	0.000142884	7.19218e-05	1.37726e-05	5.73501e-05	3.90428e-05	0.000310002	4.97613e-05	2.15824e-05	3.56743e-05	0.000264912	0	0	0.00019681	0	0	7.04556e-05	8.94087e-05	5.39339e-05	0.000405457	0.000100699	0.00109702	0.000480101
Alpha,alpha-phosphotrehalase (3.2.1.93)	0.000214703	0.000124832	0.000262288	0.00013931	0.000238053	0	0.000103812	0	0	0.000176731	0.000571092	7.26723e-06	5.99054e-05	0	0.000110618	9.68918e-05	0	0	1.31276e-05	0	0	4.435e-05	0	1.41477e-05	1.09911e-05	0.000124618	0	0.000237165	1.65769e-05	1.514e-05	7.77822e-06	0.000102187	0	0	4.87158e-05	0	0.000422763	0
Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase (3.2.1.96)	0.000544915	0.000236798	2.21645e-05	0.000839599	0.000342211	0.00146892	0.000259609	0.000467907	0.00059552	0	0	0.00188044	2.05034e-05	0.000109333	0	0.000326331	0.000305545	1.88803e-05	2.11256e-05	7.65656e-05	0.000507794	0.000334164	1.20356e-05	0.000657682	0.000466482	0.000357757	0.00048649	0.000389456	0.000464657	0.000105996	0.000474423	0.000203028	0.00132348	0.000775531	8.81622e-05	0.000406867	0.00023947	3.74618e-05
Arabinan endo-1,5-alpha-L-arabinosidase (3.2.1.99)	0.00102275	0.000183494	0.0023433	0.000901704	0.00249908	0.000950556	0.0010292	0.000791085	0.000832223	0	5.4223e-05	0.00189595	8.69925e-05	0.000438012	0.00220458	0.00152578	0.000504454	6.36055e-05	8.24885e-05	0.000273101	0.00182086	0.00195859	7.60843e-05	0.0010212	0.0020519	0.0010406	0.000807015	0.000265378	0.000618766	0.000377604	0.00231724	0.000677392	0.00122717	0.00132498	0.000513879	0.000884277	0.000142853	0.00180097
Blood group B branched chain alpha-1,3-galactosidase (3.2.1.n1)	0.000337553	0.00103187	0.00183431	0.000954742	0.0010291	0.00061549	0.000536735	0.000394661	0.000918274	0	3.64707e-05	0.00104614	0.000139202	0.000400461	0	0.000786415	0.000244454	1.92248e-05	6.83758e-05	0.000155631	0.00139661	0.00151695	0	0.00149386	0.00102951	0.000366561	0.000500451	0.000905148	0.0006729	0.000218126	0.00082889	0.00128014	0.000637619	0.000975933	0.000523171	0.000536106	0.000169121	0.000726044
Blood group B linear chain alpha-1,3-galactosidase (3.2.1.n2)	0.000309755	0.000566294	0.00183431	0.000527602	0.0010291	0.000332349	0.000536735	0.000310151	0.000775227	0	3.64707e-05	0.000690501	0.000139202	0.000400461	0	0.000558139	0.000244454	1.92248e-05	5.58144e-05	0.000155631	0.00137347	0.00151695	0	0.00140479	0.00101509	0.00035505	0.000461621	0.000675936	0.000550118	0.000218126	0.000712946	0.00122503	0.000557188	0.000820086	0.000523171	0.000495017	0.000100249	0.000726044
DNA-deoxyinosine glycosylase (3.2.2.15)	1.40351e-05	3.3188e-05	0	4.33619e-05	0	0	0.000163019	4.39219e-05	1.55308e-05	0	2.67339e-05	9.48081e-05	0	0	0	0	0.000126687	4.28596e-05	2.73432e-05	0	1.07343e-05	2.51804e-05	2.78398e-05	8.10891e-05	0	0.000187897	0	0	0.000126673	2.41339e-05	5.02482e-05	6.71027e-06	1.9158e-05	0	0.000131722	5.53041e-05	6.42397e-05	0.000174727
DNA-3-methyladenine glycosylase I (3.2.2.20)	0.000954275	0.000333334	0.000119185	0.000865422	0.000681871	0.0012966	0.00071051	0.000572574	0.000755256	0.000416106	0.000657894	0.000568676	0.000251437	0.000325208	0.000118176	0.00130504	0.000670511	0.00010857	0.000156817	0.000387926	0.00102014	0.00075733	0.00010411	0.000774084	0.00114036	0.000969708	0.000533714	0.00052214	0.000778559	0.000274189	0.000572398	0.000695913	0.00142794	0.00145628	0.000331787	0.00136711	0.000670416	0.000853427
DNA-3-methyladenine glycosylase II (3.2.2.21)	0.000247918	8.34991e-05	8.95551e-05	0.000217561	0.000126514	1.70855e-05	0.00025088	0.000113551	6.55148e-05	3.27073e-05	0.000254289	0	1.31081e-05	0	0.000205419	9.64692e-05	0	7.08677e-05	2.10774e-05	4.33988e-05	3.46315e-05	5.7598e-05	3.60715e-05	7.42983e-05	8.17788e-05	0.000152519	0	0.000133262	9.68357e-05	0	0	6.59205e-05	1.65328e-05	0	0.00029571	3.79684e-05	0.000291442	0.000108711
DNA-formamidopyrimidine glycosylase (3.2.2.23)	0.00065964	8.29788e-05	0.000169134	0.000687001	0.000341628	0.000828307	0.000246888	0.000318341	6.06076e-05	0.000325521	0.000539614	0.000229442	0.000150955	9.22992e-05	8.40379e-05	0.000507095	0.000232756	0.000105765	5.65936e-05	0.00110573	0.000425232	0.000117872	0	0.000115626	4.42864e-05	0.000350996	0.000234226	0.000273242	0.000259877	7.26276e-05	0.000186687	0.00014353	0.000557293	0.000595183	0.000158567	0.000481664	0.000478822	0
Uracil-DNA glycosylase (3.2.2.27)	0.00203205	0.00141658	0.00119622	0.00166922	0.00168093	0.00229341	0.0017561	0.00254194	0.00181006	0.00130848	0.00143862	0.00201472	0.0022731	0.00188104	0.00184581	0.00191852	0.00178954	0.00193277	0.00190398	0.00306277	0.0023225	0.00187971	0.0022024	0.00178202	0.00192854	0.00183329	0.00235204	0.00196345	0.00191244	0.00206782	0.0017946	0.00187347	0.00227392	0.0021454	0.0019825	0.00207348	0.00143167	0.00162335
Double-stranded uracil-DNA glycosylase (3.2.2.28)	0.00010448	3.42138e-05	8.56345e-05	0.000107271	0.000120998	0	0	0	0	5.54045e-05	0.000314187	0	1.54095e-05	0	0.000102549	4.84819e-05	0	0	0	0	0	0	0	0	0	1.79937e-05	0	0.000108084	0	0	0	4.08454e-05	0	0	0	0	0.000137816	0
AMP nucleosidase (3.2.2.4)	0.000567267	0.000145481	0.000978918	0.000374669	0.000686618	0.000471247	0.000398121	0.000457386	0.000412801	0.000214619	0.000512388	0.000319353	0.000156575	0.000183607	7.15201e-05	0.00041773	0.000271808	0.000104084	6.91489e-05	0.000130466	0.000579965	0.0007028	0	0.0005975	0.000893888	0.000433993	0.000448131	0.000432792	0.000494498	0.000239664	0.000300137	0.000521666	0.000520688	0.00051228	0.000175966	0.000242773	0.000428614	0.000862603
Ribosylpyrimidine nucleosidase (3.2.2.8)	0.000128769	8.72028e-05	0.000206785	0	0.000147136	0	1.59965e-05	0	0	5.0173e-05	0.000390113	0	3.34016e-05	0	4.39953e-05	0.000108062	0	0	0	0	0	0	0	0	0	8.60596e-06	0	0.000164845	0	0	0	4.77754e-05	0	0	0	0	0.000463843	6.21209e-05
Adenosylhomocysteine nucleosidase (3.2.2.9)	0.00170296	0.00160628	0.00167963	0.00140032	0.00102034	0.00179018	0.00175326	0.00220322	0.00140873	0.00156769	0.00123534	0.00115373	0.00183497	0.00127263	0.000316	0.00148472	0.00147943	0.00328893	0.00121548	0.00317453	0.00191621	0.00158265	0.00173135	0.00121551	0.00122083	0.00168385	0.00142202	0.000845331	0.00180796	0.0013665	0.000807242	0.00139471	0.00214911	0.00182026	0.00179908	0.00180242	0.00140694	0.00202464
Cytokinin riboside 5'-monophosphate phosphoribohydrolase (3.2.2.n1)	0.00173382	0.00147891	0.00282338	0.00181032	0.00286725	0.00249991	0.00201203	0.0029361	0.0021379	0.00111797	0.000951308	0.00243818	0.000941224	0.00120952	0.00267766	0.0023017	0.00121486	0.000420442	0.000414104	0.000620629	0.00272194	0.00265757	0.000124598	0.00222694	0.00225713	0.00180417	0.00258132	0.00174163	0.00246543	0.000651968	0.00289967	0.00196748	0.00234204	0.00236361	0.00202423	0.00165257	0.000973979	0.00236572
Adenosylhomocysteinase (3.3.1.1)	0.000263844	0.000725564	0	0.000569005	0.000557752	0.000458436	0.000421349	0.000212654	0.000889821	0.000258664	4.95931e-05	0.000888545	0.00022277	0.000256204	0.00156771	0.000686334	0.000352501	5.9066e-05	0.000179566	0.000270773	0.000279906	0.000354817	8.38421e-05	0.000703471	0.000670939	0.000578236	0.000502427	0.0011481	0.000433434	0.000277768	0.000994134	0.000322881	0.000225391	0.000560686	0.000794317	0.000556987	0.000359755	3.60709e-05
Isochorismatase (3.3.2.1)	0.000189868	4.00702e-05	0.000137159	1.87226e-05	0.000116373	0	2.87267e-05	0	0	9.7176e-05	0.000359301	0	0	0	2.59398e-05	3.7682e-05	0	0	0	0	0	0	0	0	0	1.21127e-05	0	0.000156113	0	0	0	9.28822e-05	0	0	0	0	0.000261544	0
Leucyl aminopeptidase (3.4.11.1)	0.000280205	0.000147622	0.000275536	0.00017622	0.000302147	3.05953e-05	3.41787e-05	0	0.000254877	0.000523383	0.000549669	0	5.68796e-05	0.000110082	0.000126296	0.0001243	0	0	4.75547e-05	3.06469e-05	3.12942e-05	2.64497e-05	0	3.84131e-05	1.49037e-05	9.46679e-05	0.000156899	0.000360899	4.57668e-05	0	2.50565e-05	0.000146358	1.30517e-05	7.54435e-05	3.44143e-05	6.04566e-05	0.000332311	2.66047e-05
Bacterial leucyl aminopeptidase (3.4.11.10)	0.00028493	0.000154476	0.000882986	0.000255523	0.000452178	0.000254038	0.000301109	0.000209052	0.000659496	0.000364283	0.000289011	0.00029629	7.70094e-05	0.000251026	9.95852e-06	0.000369801	0.000203458	2.10179e-05	8.58146e-05	0.000135047	0.000593491	0.000666377	0	0.000602452	0.00082276	0.000334779	0.000518473	0.000287199	0.00036004	0.000126005	0.000314406	0.000424031	0.000417633	0.000599707	0.000159457	0.000254838	0.0002111	0.000799693
Methionyl aminopeptidase (3.4.11.18)	0.00291426	0.00323915	0.00275649	0.00300277	0.00260632	0.00320767	0.00351521	0.00370339	0.00336088	0.00297996	0.00221931	0.00326423	0.00458833	0.00367897	0.00328539	0.00279792	0.00397166	0.00401547	0.00347636	0.00614894	0.00341294	0.00344563	0.00369136	0.00338178	0.00329518	0.00360899	0.00505931	0.0028636	0.00343953	0.00405745	0.00327522	0.00317043	0.00344363	0.00329562	0.00425864	0.00349071	0.00237332	0.00371641
Membrane alanyl aminopeptidase (3.4.11.2)	0.00032159	0.00031959	0.000828252	0.000159432	0.00053612	0.000118188	0.00017666	0.000134149	0.000126606	0.00022968	0.000799869	0.000172066	0.000106217	0.000127031	0.000101094	0.000105764	0.000126384	0	6.23886e-05	5.95659e-05	0.000359945	0.000434515	0	0.000373896	7.29936e-05	0.000280475	4.82798e-05	0.000377794	0.00023413	2.41774e-05	0.000147077	0.000543567	6.1214e-05	0.00026583	0.000114538	0.000149082	0.000560138	0.00027352
PepB aminopeptidase (3.4.11.23)	0.000182731	2.94393e-05	0.000174409	8.44205e-05	0.000122125	0.000134925	1.31706e-05	0	0	0.000235472	0.000343554	0	2.8286e-05	0	5.32065e-05	0.000187881	0	8.45852e-05	5.74195e-05	3.84923e-05	0	0	0	0	0	2.01558e-05	0	0.000110747	0	0	0	8.28525e-05	0	0	0	0	0.000292214	0
Aminopeptidase S (3.4.11.24)	0.000109676	0	7.02977e-05	0	3.70534e-05	0	5.67367e-05	0.000151633	0.000130709	0.000136054	0	0.000149702	0	2.94935e-05	3.35142e-05	0	0	0	0	2.38381e-05	0	0.000195108	1.24784e-05	5.05677e-05	0	0	0	0	0	0	0	7.64763e-05	5.95475e-05	6.20088e-05	0	0	0	0
Tripeptide aminopeptidase (3.4.11.4)	0.00157918	0.00167651	0.00175198	0.00146854	0.00140268	0.00179877	0.00156354	0.00185999	0.00163245	0.00192427	0.00149486	0.00165861	0.00209257	0.00178245	0.00136047	0.001353	0.00210348	0.00205941	0.00211137	0.00172272	0.00185451	0.00190784	0.00182907	0.00187658	0.00159249	0.00167167	0.00178647	0.00159076	0.00189892	0.00191519	0.00160031	0.00187773	0.00163101	0.00193874	0.00206391	0.00172986	0.00110703	0.00147351
Prolyl aminopeptidase (3.4.11.5)	0	0.000159	0	1.16025e-05	0	0	4.39675e-05	5.31035e-05	8.85964e-05	0.000473791	0.000402771	5.42916e-05	0.000826562	0.00100396	0	0	0.000559347	0.00115762	0.00159196	0.00255688	0	5.39428e-05	0.00178567	3.33571e-05	0.000102578	0.000104516	3.63102e-05	6.05964e-05	8.25445e-05	0.000985031	0	0.000259559	2.33959e-05	0	0.000112648	0.000175105	0.000232742	0.000127871
Aminopeptidase B (3.4.11.6)	5.13566e-05	0.000160475	8.01507e-06	0.000114495	1.97853e-05	2.64717e-05	0.000134604	3.63237e-05	3.38417e-05	0.000286811	0.000162342	7.86788e-05	3.54536e-05	2.46217e-05	3.55417e-05	1.88294e-05	2.52014e-05	0	0	1.45595e-05	5.56518e-05	9.09341e-05	9.76253e-06	4.10484e-05	0.000193118	0.000111527	2.96877e-05	0.000100623	3.4538e-05	7.0717e-05	1.0316e-05	0.000128135	4.26022e-05	2.70585e-05	8.28508e-05	3.27485e-05	0.000122567	9.65796e-05
Xaa-Pro aminopeptidase (3.4.11.9)	0.000446696	0.000376009	0.00122337	0.000517112	0.00116694	0.000463967	0.000299443	0.00033447	0.000256447	0.000485986	0.000606007	0.000867997	0.000115696	0.000179837	0.000928947	0.000570711	0.000256311	2.96039e-05	0.000111304	7.3958e-05	0.000841282	0.000863881	2.26739e-05	0.000605868	0.000334762	0.000351705	0.000171604	0.000806218	0.000465824	9.10663e-05	0.00107887	0.000615887	0.000323195	0.000399565	0.000145916	0.00040213	0.000440237	7.02387e-05
Cytosol nonspecific dipeptidase (3.4.13.18)	0.000874627	0.000493185	0.00131183	0.0010926	0.00113775	0.00092668	0.000888719	0.000760852	0.000782709	0.000240823	0.000725384	0.0010721	0.0002274	0.00040472	0.000864301	0.00115579	0.00051361	0.000108992	0.000180398	0.000293348	0.00093616	0.00107618	3.11221e-05	0.00109734	0.00122874	0.000674369	0.000683645	0.00106306	0.000921213	0.00023584	0.00130576	0.00100481	0.000842486	0.00104214	0.000458715	0.000635497	0.000602856	0.000979241
Beta-Ala-His dipeptidase (3.4.13.20)	0.000148934	0.000139734	1.40481e-05	0.000327179	0.000377763	0.000375056	6.8517e-05	0.000124265	0.000119207	0	0.000118356	0.000436306	8.45927e-05	7.73858e-05	0.000698445	0.000258905	0.000122264	1.77295e-05	3.18735e-05	6.21988e-05	0.00014591	0.000163314	0	0.000160335	0.00013097	0.000123323	0.000152568	0.000377971	0.000205653	9.14975e-05	0.000737632	0.000115144	0.000160244	0.000147379	4.71849e-05	9.73841e-05	6.14134e-05	7.79927e-05
