EC	D605	D606	D607	D611	D612	D614	D616	D618	D619	D621	D624	D627	D629	D631	D632	D633	D636	D640	D641	D645	D646	D648	D678	D679	D680	D681	D683	D684	D685	D686	D687	C487	C488	C491	C492	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC12	NC13	NC14	B202	B204	B206	B207	B209	B211	B212	B223	B224	B226	B228	B230	B231	B232	B235	B236	B237	B238	B319	B320	B321	B322	B323
Ribose 1,5-bisphosphate phosphokinase (2.7.4.23)	0.00015816	9.1948e-05	4.77554e-06	0.000249406	9.42066e-05	0.000608066	7.61358e-05	6.20561e-05	0.000141022	7.48886e-05	0.000543002	0.000322502	6.42952e-06	0.000103268	4.23286e-05	1.38051e-05	0.000147042	0.000181896	0.000125787	0.000106054	0.000349827	1.33613e-05	4.51612e-05	3.63436e-06	0.000152623	1.633e-05	1.11717e-06	0.000124434	0.000158931	0.00010948	5.09397e-05	7.8475e-05	0.000254969	0.000158557	1.20067e-05	0.000304002	0.000115079	0.00031656	3.56365e-05	0.000198335	0.000121917	0.000285319	0.00065447	0.000176478	0.000450625	1.24335e-05	0.000500756	0.000285703	3.63995e-05	1.61261e-05	3.38505e-05	1.04765e-05	1.63189e-05	0.000112152	2.57269e-06	3.66225e-05	2.05613e-05	7.93934e-06	1.66453e-05	1.10253e-05	0.000181407	0.000127672	0.000184057	4.24869e-05	3.59372e-05	1.30186e-05	2.18592e-05	2.72577e-05	0.000223269	2.385e-05	3.08933e-06
(d)CMP kinase (2.7.4.25)	0.00195615	0.00154189	0.00190333	0.00102648	0.00143285	0.00112497	0.00161841	0.00178837	0.00137557	0.00180044	0.0012106	0.00138834	0.00190951	0.00164325	0.00167692	0.00175465	0.00148505	0.00133104	0.00139769	0.00186734	0.00158042	0.00169997	0.00193054	0.00237088	0.00137801	0.00195208	0.00186996	0.001722	0.0015728	0.00167133	0.00166081	0.00172904	0.00185128	0.00188731	0.00170115	0.000960255	0.00198064	0.00201979	0.00166317	0.00142641	0.00186264	0.0016735	0.000858771	0.00159213	0.00120647	0.00170656	0.00126773	0.00123829	0.00203824	0.00220132	0.00178145	0.00205651	0.00201926	0.00167162	0.00169979	0.00239033	0.00256229	0.00184954	0.00225046	0.00204563	0.00163913	0.00154414	0.00193702	0.00190597	0.00197891	0.00223297	0.00211536	0.00240957	0.00165368	0.00211552	0.00201344
([Pyruvate, water dikinase] phosphate) phosphotransferase (2.7.4.28)	0.000105758	0.000131676	0	0.000213469	5.93461e-05	0.00030518	3.32582e-05	3.29078e-05	0.000109972	0.000119388	0.000311921	0.000149596	3.45993e-05	4.84429e-05	4.75019e-05	5.71597e-06	0.000101257	0.000175681	0.000109944	7.03077e-05	0.000176186	1.59295e-05	3.84096e-05	4.54468e-05	0.000192544	2.97586e-05	8.15797e-06	8.85144e-05	9.93965e-05	4.68366e-05	3.26589e-05	4.30807e-05	0.000165581	0.000225088	3.57282e-05	0.000513706	9.0691e-05	0.000141841	2.65056e-05	0.000188346	0.000126305	0.000254131	0.000390377	0.000172823	0.000255998	1.08751e-05	0.000661641	0.000244428	1.22891e-05	1.77153e-05	1.56865e-05	3.25208e-05	9.63716e-06	5.61425e-05	3.29402e-06	2.68154e-05	3.70033e-05	1.25495e-05	1.32296e-05	2.87651e-06	6.34289e-05	7.67746e-05	0.00010915	2.62708e-05	3.95998e-05	1.46435e-05	3.34792e-05	3.51837e-05	0.000106245	6.39587e-05	2.04482e-06
Adenylate kinase (2.7.4.3)	0.00187155	0.00173824	0.00189446	0.0012866	0.00145264	0.00103942	0.0017329	0.00172004	0.00135707	0.00202831	0.00121173	0.00138119	0.00186071	0.00165822	0.00167781	0.00154706	0.00159079	0.00142269	0.00143976	0.00207756	0.00159722	0.0019917	0.00220599	0.00256602	0.00160416	0.00207689	0.00204862	0.001597	0.00163306	0.00165197	0.00188036	0.00176616	0.00194573	0.00215657	0.00169127	0.00128492	0.00194446	0.00211939	0.00186993	0.0017895	0.00195074	0.00210599	0.00130945	0.00165822	0.00128838	0.00193369	0.00137595	0.0014728	0.00248211	0.00219513	0.00198177	0.00246752	0.00229211	0.0016758	0.00246254	0.00228228	0.00255333	0.00223329	0.00254181	0.00204689	0.00173967	0.00167426	0.00215843	0.00206177	0.00206747	0.00222781	0.00231929	0.0026257	0.00173938	0.00240706	0.00216414
Nucleoside-diphosphate kinase (2.7.4.6)	0.00096274	0.00112833	0.000556708	0.00101459	0.000518886	0.000681654	0.00134573	0.00104296	0.00115113	0.000713392	0.000611441	0.00110449	0.00102704	0.00112594	0.00113036	0.00128684	0.00142551	0.000848995	0.00100816	0.000521446	0.000582309	0.000426648	0.000454527	0.000136245	0.00142337	0.000880322	0.0010933	0.000793157	0.000985689	0.00103967	0.000604666	0.00105657	0.000389675	0.000561551	0.00101735	0.000461994	0.00065997	0.000304746	0.000619095	0.000670688	0.00037599	0.000411272	0.000669642	0.000290732	0.000533889	0.000550409	0.000715949	0.000588701	0.000305115	0.000475704	0.000845504	0.000601167	0.00065301	0.000616433	0.00124929	0.00040475	0.000177596	0.000751727	0.000338818	0.000487882	0.00096476	0.00103972	0.000442371	0.000906963	0.000634222	0.000470678	0.000834299	0.000243955	0.000572475	0.000343961	0.000598059
Phosphooxymethylpyrimidine kinase (2.7.4.7)	0.000931118	0.000446712	0.000503779	0.000193732	0.000926875	0.000779356	0.00033985	0.000444751	0.00011271	0.000790136	0.000428896	0.000266464	0.000406236	0.000474467	0.000513884	0.000139481	0.000400212	0.000559488	0.000599729	0.000712696	0.000718726	0.000990566	0.000635952	0.000614265	0.000288044	0.000712197	0.000677142	0.000716057	0.000306938	0.000486866	0.0005433	0.000607421	0.00123205	0.000920604	0.000481861	0.0006121	0.000602545	0.000704296	0.000683349	0.000726763	0.000677454	0.000442523	0.000348324	0.000451748	0.000639747	0.000821318	0.000422818	0.000456121	0.00073185	0.000431088	0.000690641	0.000733529	0.000319442	0.000416877	0.00044592	0.000854912	0.000553871	0.000109561	0.000489494	0.000910369	0.000467722	0.000299411	0.000895518	0.000689942	0.000682388	0.00049517	0.000505071	0.000778973	0.000704454	0.000899782	0.000680339
Guanylate kinase (2.7.4.8)	0.0044153	0.00163713	0.00193893	0.00106856	0.00153845	0.00117301	0.00157262	0.00186772	0.00149383	0.00172002	0.00162563	0.00207341	0.00201945	0.00163131	0.00176438	0.00158618	0.00187243	0.00134769	0.00148573	0.00239814	0.00177436	0.00230394	0.00216504	0.00265565	0.00153834	0.00209985	0.00204617	0.00358137	0.00164888	0.00180257	0.00230935	0.00177153	0.0038991	0.00259753	0.00180821	0.00129543	0.0034108	0.00200474	0.00183823	0.00188811	0.00203844	0.00146371	0.000923912	0.00183808	0.00144065	0.00178524	0.00152354	0.00135022	0.00201988	0.00206826	0.0019171	0.00218326	0.00220264	0.00212566	0.00228882	0.00224486	0.00199588	0.00204288	0.00212957	0.00205662	0.00197542	0.00172424	0.00198308	0.00297238	0.00204025	0.00220756	0.00219147	0.0033599	0.00187802	0.00232008	0.00202532
dTMP kinase (2.7.4.9)	0.00031178	0.000353763	0.000268842	0.000382444	0.00024489	0.000320718	0.000463157	0.000649641	0.00022781	0.000754771	0.000536479	0.000360059	0.00049288	0.000390532	0.000281186	1.05048e-05	0.000295679	0.000365304	0.000495345	0.000531192	0.000482228	0.000486239	0.000629731	0.00017507	0.000318937	0.00054554	0.000585762	0.000310931	0.000456394	0.000379452	0.000267747	0.000500873	0.00047385	0.000837919	0.000367351	0.000637906	0.000525289	0.00118783	0.000331631	0.000857002	0.000954865	0.000592744	0.000780997	0.000947645	0.000588881	0.000982965	0.000924565	0.00053363	0.000313718	0.00051727	0.000520718	0.000598766	0.000260147	0.000433725	0.00094785	0.000781516	0.000943909	0.000367685	0.00101577	0.000518615	0.000158239	0.000264135	0.000528256	0.000307497	0.000523722	0.000277822	0.000473893	0.00113226	0.000441005	0.000408786	0.000584312
Ribose-phosphate diphosphokinase (2.7.6.1)	0.00131014	0.00130289	0.00146894	0.000838615	0.0010108	0.000902533	0.00133001	0.00150208	0.00105116	0.00133975	0.000868364	0.00104948	0.00144523	0.00128821	0.00136215	0.0011073	0.00120303	0.00106275	0.00125597	0.00126871	0.00110181	0.00105537	0.00149922	0.00193828	0.00119801	0.00135451	0.0013981	0.00110681	0.00140382	0.0012179	0.00160349	0.00124391	0.00115049	0.00132214	0.0014661	0.00160451	0.00133314	0.00235002	0.00129809	0.00206607	0.00210659	0.000947859	0.00073704	0.00169168	0.00158938	0.00184461	0.00142889	0.00153221	0.0012087	0.00146892	0.00144609	0.00173186	0.00166987	0.00145208	0.00202388	0.00158977	0.00139456	0.00167805	0.00155762	0.00139996	0.00130183	0.00119461	0.00165814	0.00131542	0.00159446	0.00129421	0.00170871	0.00159018	0.00136677	0.00177236	0.00132275
Thiamine diphosphokinase (2.7.6.2)	0.000534595	0.000852175	0.00136191	0.000519878	0.00101959	0.000415316	0.00114486	0.00112594	0.00102169	0.000778314	0.000299993	0.000469834	0.00115895	0.000823014	0.00127368	0.000978626	0.00124105	0.000895884	0.000917462	0.000578548	0.000579019	0.00123531	0.000683096	0.000219845	0.00119687	0.000909347	0.000942972	0.000692977	0.000914749	0.0010813	0.000943597	0.00106383	0.000343971	0.00065622	0.00115494	0.000298609	0.00051789	0.000750436	0.00110276	0.000779649	0.000635072	0.000268308	0.000162874	0.000658747	0.00079228	0.000931756	0.000574835	0.000676246	0.000593007	0.000741018	0.00103941	0.000884036	0.000730532	0.000521622	0.000870688	0.000564214	0.00060483	0.00107537	0.000448943	0.0010258	0.000932642	0.00128469	0.000775496	0.000872602	0.000801638	0.000843982	0.00041794	0.000360948	0.000704991	0.000619954	0.000814082
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase (2.7.6.3)	0.00115967	0.00101842	0.00111634	0.000931305	0.000983661	0.00100468	0.0013279	0.000932818	0.00122024	0.000733857	0.000711615	0.000937899	0.0011967	0.00109708	0.00107787	0.00142686	0.00126739	0.0010457	0.000936776	0.000420423	0.000618614	0.000456735	0.000805585	0.000736899	0.00144326	0.000727149	0.000689006	0.00144105	0.000840356	0.00112501	0.000655379	0.00110545	0.00110088	0.000860566	0.00116281	0.000282997	0.000968635	0.000336982	0.00117621	0.000185059	0.000380218	0.000304136	0.000612486	0.000195347	0.000485565	0.000845762	0.000106066	0.000569113	0.000326996	0.00068996	0.000869311	0.00034197	0.00125786	0.000586741	0.000387553	0.000525296	0.000247537	0.00108352	0.000337704	0.000972761	0.000906791	0.00122635	0.000505547	0.00121691	0.00085222	0.000534395	0.00049181	0.000705458	0.000610648	0.000636359	0.000553864
GTP diphosphokinase (2.7.6.5)	0.000581039	0.000570534	0.000364567	0.000596125	0.000347577	0.000939897	0.000338453	0.000284866	0.000223019	0.000677876	0.000371381	0.000513524	0.000361425	0.000441521	0.000511927	0.000277588	0.000182216	0.000557569	0.00038781	0.00130902	0.000692058	0.00213318	0.00047304	0.000351141	0.00042123	0.000702763	0.00060438	0.000259825	0.000547736	0.000549004	0.00252997	0.000710575	0.00120056	0.00100545	0.00052325	0.00121297	0.000354896	0.001109	0.000668386	0.00202135	0.00103473	0.000972011	0.00100708	0.00126598	0.000914647	0.00109817	0.00067848	0.000775413	0.0010542	0.000971392	0.00106294	0.00104785	0.000800224	0.00157779	0.00160638	0.000685915	0.00116045	0.00049268	0.00115066	0.000840048	0.00101319	0.000500122	0.00105682	0.000615132	0.000820885	0.0010188	0.00046272	0.000818639	0.000941619	0.00107831	0.00125201
Nicotinamide-nucleotide adenylyltransferase (2.7.7.1)	1.15573e-05	1.13449e-05	7.37817e-07	5.38727e-05	8.81238e-06	8.91838e-05	1.28748e-05	1.15487e-05	2.16889e-05	3.08013e-05	6.71742e-05	7.37729e-05	8.45873e-07	1.82634e-05	1.51154e-05	1.89381e-06	2.89768e-05	2.67506e-05	2.87747e-05	1.84743e-05	0.000100337	7.05715e-06	3.2328e-06	2.07253e-06	2.87507e-05	2.85156e-06	3.31765e-05	4.78365e-05	1.32102e-05	3.26848e-05	5.87306e-05	8.6701e-05	0.000175912	0.000100916	4.69615e-07	6.30319e-05	1.58737e-05	0.000214408	2.49738e-05	2.74915e-05	1.4167e-05	0.0001184	0.000108933	3.85636e-05	0.000164897	8.16305e-06	0.000229047	8.17965e-05	3.47434e-06	1.37236e-06	2.0167e-06	2.63694e-07	2.46408e-06	1.19869e-05	2.91279e-06	2.54126e-06	3.9975e-06	2.85999e-05	0	0	9.04635e-06	4.93694e-05	8.70468e-05	1.77725e-06	2.69193e-06	2.23987e-06	2.30688e-06	4.25373e-06	4.39238e-05	7.6703e-06	0
UDP-glucose--hexose-1-phosphate uridylyltransferase (2.7.7.12)	0.000500843	0.000363391	0.000209035	0.000365302	0.000303821	0.000420497	0.000386432	0.000468001	0.000208945	0.000629814	0.000700751	0.000441606	0.000164708	0.000406421	0.000494868	0.000151051	0.000327249	0.000527079	0.000511444	0.00127355	0.000553846	0.000805142	0.000589696	0.000170365	0.000227804	0.000622464	0.000445954	0.0002537	0.000468809	0.000347093	0.00111675	0.000580274	0.00085483	0.000673655	0.000327263	0.00114103	0.000232753	0.00135401	0.000587016	0.00169028	0.000857207	0.00125723	0.000624571	0.00124995	0.000986686	0.000707476	0.000934886	0.000857272	0.00116398	0.00101472	0.00073253	0.00116718	0.000752128	0.000677378	0.00168714	0.000831866	0.00134842	0.000617305	0.00108916	0.000689337	0.000374111	0.000323295	0.00101882	0.000476985	0.000594768	0.000666608	0.000656812	0.000638714	0.000930422	0.000957128	0.00110984
Mannose-1-phosphate guanylyltransferase (2.7.7.13)	0.000643007	0.000654169	0.00108054	0.000438789	0.000603823	0.000844275	0.000685069	0.000910791	0.000729822	0.000456709	0.000612408	0.0010362	0.00116838	0.000773756	0.000977054	0.00107237	0.00131916	0.000754047	0.00092345	0.000347576	0.000561926	0.000332731	0.000426796	0.000102664	0.00108893	0.000552243	0.000624367	0.000837671	0.000905977	0.00104572	0.000476836	0.000765635	0.000382207	0.000348888	0.000807677	0.000401822	0.000603522	0.000124187	0.000480302	0.000239942	0.000308206	0.000216111	0.000439459	0.000272767	0.000574828	0.000278926	0.000291434	0.000321212	0.000244838	0.000466229	0.000608818	0.000270615	0.00074517	0.000406567	0.000423616	0.000262159	0.000192131	0.000895569	0.000309371	0.000416666	0.00098101	0.00102499	0.00051398	0.000750051	0.000629425	0.000412728	0.000419467	0.000205173	0.000628141	0.000232184	0.000531716
Nicotinate-nucleotide adenylyltransferase (2.7.7.18)	0.00179559	0.00110585	0.00162303	0.00100041	0.00118857	0.00116462	0.00163385	0.00175573	0.00147777	0.00151166	0.000910211	0.00103889	0.00182013	0.00144499	0.00141351	0.00156459	0.00179129	0.00131836	0.00120584	0.00095599	0.00130385	0.000823236	0.00161878	0.00203314	0.00160914	0.00145239	0.00166383	0.00192814	0.00155858	0.00166047	0.000899078	0.00140952	0.00181202	0.00137758	0.00162356	0.000796632	0.00219607	0.00127398	0.00137948	0.00133162	0.00121128	0.000516279	0.000548502	0.00110514	0.0011497	0.00145237	0.00109176	0.000926616	0.000895073	0.0012281	0.00135855	0.0014785	0.00139197	0.00117656	0.00159678	0.00130864	0.0010689	0.00131849	0.00119839	0.00128802	0.00127807	0.00147215	0.000867836	0.001931	0.00136784	0.00150361	0.00214769	0.00178521	0.00102023	0.00126442	0.0012539
Polynucleotide adenylyltransferase (2.7.7.19)	0.000117313	0.000149777	1.75364e-05	0.000269285	5.50136e-05	0.000403678	9.56246e-05	8.09056e-05	0.000160288	0.0001547	0.000525096	0.000308798	3.37192e-05	0.000111827	0.000217319	1.20339e-05	0.000119793	0.000222121	0.000236017	8.32393e-05	0.000285513	2.04912e-05	5.16637e-05	1.34409e-05	0.000141758	5.97213e-05	4.79431e-05	0.000124534	0.000155699	0.000101521	5.86713e-05	0.000131776	0.000251758	0.000185837	4.60646e-05	0.000452297	9.59009e-05	0.000129808	3.56352e-05	0.000160992	0.000116328	0.000241363	0.000524572	0.000270087	0.000438709	7.92532e-06	0.000370126	0.000282813	6.43797e-05	2.98195e-05	3.65702e-05	7.79698e-06	4.26282e-05	7.8032e-05	2.44772e-05	3.37119e-05	1.74539e-05	6.35253e-05	7.52303e-06	4.08026e-06	0.000116938	0.000116895	0.00016453	0.000101392	1.64674e-05	4.53453e-05	6.14238e-05	0.000110084	0.000173256	6.36489e-05	0.000131887
FAD synthase (2.7.7.2)	0.0020648	0.00125367	0.00163478	0.000912907	0.00139362	0.00104814	0.00171011	0.00151862	0.00138908	0.00142562	0.000921186	0.00112857	0.00157714	0.0015751	0.00163957	0.00147887	0.00141624	0.00129462	0.00137527	0.00206871	0.00105185	0.00172656	0.00157545	0.000943485	0.00124746	0.00176764	0.00167749	0.00172682	0.00144102	0.00142203	0.00163001	0.00164274	0.00170105	0.00152247	0.0014947	0.000980749	0.00153425	0.0014712	0.00162633	0.00147684	0.00138866	0.00148344	0.000462803	0.00110391	0.000911228	0.0014258	0.00112604	0.00101724	0.00198248	0.00195059	0.00177076	0.00167539	0.00208672	0.00151725	0.00207853	0.00183677	0.00198816	0.00206269	0.00195533	0.00177042	0.00157324	0.00150917	0.0016843	0.00187471	0.00184852	0.00193675	0.00135007	0.00216816	0.00147015	0.00170307	0.00186712
Mannose-1-phosphate guanylyltransferase (GDP) (2.7.7.22)	0.000335093	0.000152788	0.000308294	5.14038e-05	0.000557978	0.000457977	0.000351513	0.000625795	0.000225184	0.0002055	0.000355915	0.000559776	0.000521142	0.000401743	0.000449192	0.000771778	0.000948614	0.000510829	0.000630431	0.00021503	0.00032551	0.000220882	0.000447428	1.86606e-05	0.00087572	0.000569858	0.000682233	0.000501306	0.000563516	0.000566139	0.000295927	0.000524948	9.78556e-05	0.000138932	0.000594209	0.000385287	0.000349117	8.3208e-05	0.000719868	0.000175602	0.000342891	3.35837e-05	6.90373e-05	0.000224172	0.000292427	0.000197908	9.58543e-05	0.000145915	0.000199302	0.000445027	0.000399279	0.000231096	0.000367814	0.000153512	0.000204946	0.000232578	0.000131516	0.000473843	0.000177936	0.00043778	0.000556968	0.000688783	0.000201443	0.000618141	0.000439601	0.000339876	0.000340332	0.000145151	0.000331452	0.000245954	0.00029144
UDP-N-acetylglucosamine diphosphorylase (2.7.7.23)	0.000255764	0.000388232	9.51505e-05	0.00034792	0.000166699	0.000521472	0.000397348	0.000510257	0.000313436	0.000367752	0.000847994	0.000641673	0.000131305	0.00031564	0.000180453	2.22591e-05	0.00039134	0.000365074	0.000487435	0.000320212	0.000491153	0.000120027	0.000397151	0.000133207	0.000314828	0.000372082	0.000250016	0.000252315	0.000381322	0.000362373	0.000237161	0.000320856	0.000282091	0.000588592	0.000270991	0.000931469	0.000193303	0.00101084	0.00020525	0.0011423	0.000705475	0.000472759	0.000640538	0.000838736	0.00081109	0.000587364	0.00106586	0.000483343	0.000307068	0.000225893	0.000323429	0.000630837	0.000215851	0.000448497	0.00116626	0.000433725	0.000659782	0.000139802	0.000331372	0.000141789	0.000173236	0.000240532	0.000499906	0.000188383	0.000159809	0.000297339	0.000574129	0.000629457	0.000422992	0.000404254	0.000569794
Glucose-1-phosphate thymidylyltransferase (2.7.7.24)	0.00304161	0.00240578	0.0021329	0.00189087	0.00205158	0.00117638	0.00298101	0.00261763	0.00374687	0.00235848	0.00162887	0.0019178	0.00302577	0.00249137	0.00208633	0.00337123	0.00194624	0.00275285	0.00180764	0.00209627	0.00227565	0.00195208	0.00222805	0.00347748	0.00159563	0.00216986	0.00210653	0.0020002	0.0019658	0.00189611	0.00194268	0.0017645	0.00328466	0.00210224	0.00234471	0.00141006	0.00219336	0.00207471	0.00202983	0.00142168	0.00209348	0.00196193	0.00105199	0.0018986	0.00164751	0.0016206	0.00174303	0.00180505	0.00222943	0.0024334	0.00220335	0.00181459	0.00246959	0.00206603	0.00138145	0.00222815	0.00196821	0.00182793	0.00223528	0.0024415	0.00270204	0.00269053	0.00189343	0.00208193	0.00211754	0.00202772	0.00178367	0.00226711	0.00162927	0.00239875	0.00225253
Glucose-1-phosphate adenylyltransferase (2.7.7.27)	0.000875382	0.000705132	0.000458065	0.000638049	0.0006142	0.000406525	0.000510616	0.000697094	0.000265825	0.00148538	0.000976995	0.000524305	0.000548017	0.000971151	0.00111111	0.000511343	0.00043109	0.000773899	0.000772101	0.00188286	0.00106038	0.00265799	0.00138172	0.000478949	0.000328972	0.00116648	0.000901467	0.000545447	0.000938573	0.000627112	0.00205648	0.00110623	0.00143632	0.00136638	0.000706588	0.00236092	0.000440747	0.00247554	0.0009051	0.00333325	0.00207332	0.00232378	0.00149989	0.00238252	0.00183004	0.00147016	0.00211633	0.00196326	0.00282127	0.0016395	0.00149925	0.00207678	0.00164764	0.00129079	0.00219104	0.00190158	0.00278833	0.00153937	0.00244828	0.0013433	0.00107157	0.000734914	0.00223432	0.000974709	0.00132913	0.00131323	0.00106536	0.00154356	0.00197711	0.00178198	0.00197964
Pantetheine-phosphate adenylyltransferase (2.7.7.3)	0.00227878	0.00171476	0.00194327	0.00119928	0.00145292	0.00125292	0.00180986	0.0018009	0.00172679	0.00182507	0.00119255	0.00138532	0.00202665	0.00181628	0.00182336	0.00161252	0.00166256	0.00147439	0.00165597	0.0018536	0.0016751	0.00168139	0.00212651	0.0029106	0.00155916	0.00186343	0.00149722	0.00196714	0.00163808	0.00187245	0.00172424	0.00173716	0.00177565	0.00200805	0.00175289	0.00114581	0.00222582	0.0017112	0.00177824	0.0014956	0.00193915	0.00152375	0.0009348	0.00159012	0.0012902	0.00173616	0.00134328	0.00138612	0.00199684	0.00205907	0.00177908	0.00202243	0.00212643	0.00159737	0.00174451	0.00223083	0.00197349	0.0020753	0.00203353	0.00189111	0.00166029	0.00162696	0.00177696	0.00195586	0.00190406	0.00214397	0.00234618	0.00241585	0.00156787	0.00219005	0.00188189
Glucose-1-phosphate cytidylyltransferase (2.7.7.33)	0.000237371	0.000950527	0.000332525	0.00170946	0.000314161	0.000348277	0.000299525	0.00123116	0.00122314	0.000405418	0.000307418	0.000929602	0.000717612	0.0011043	0.000205997	0.0011391	0.000115175	0.000604766	0.000187909	0.00091723	0.000439826	0.00106988	0.000287252	0.000204071	0.000829381	0.000905564	0.000567933	0.000792507	0.00029723	0.00092244	0.00148881	0.000193074	0.000346985	0.000232527	0.000644902	2.52324e-05	0.000530482	9.64414e-05	0.000547345	9.01961e-05	0.000244207	3.63927e-05	7.89844e-06	5.98933e-05	0.0002384	0.000365617	4.70819e-05	0.000502428	0.00113838	0.000746656	0.000588461	0.000243324	0.000245386	0.00114604	0.000212839	0.00020013	0.000139412	0.000395336	0.000298716	0.000420074	0.000966854	0.00164472	0.000182923	0.000329737	0.000502452	0.000555075	0.000213995	0.000510806	0.00026411	0.000343958	0.000933382
3-deoxy-manno-octulosonate cytidylyltransferase (2.7.7.38)	0.000955998	0.00122435	0.00138336	0.000916171	0.00101159	0.00143546	0.00142614	0.00137245	0.00111891	0.00114908	0.0012487	0.00115113	0.00151451	0.00115669	0.00100732	0.00114204	0.00108908	0.00109152	0.00125492	0.000607224	0.0011232	0.000349693	0.00126307	0.00195508	0.00108638	0.00113821	0.00123893	0.00133315	0.00115336	0.00155774	0.000557648	0.000989615	0.00084129	0.00104992	0.00138078	0.000503147	0.00163605	0.000509685	0.00108639	0.00065394	0.000707251	0.000270691	0.000411151	0.000350117	0.000540267	0.000751354	0.000535044	0.00068751	0.000345268	0.000866545	0.000955647	0.00133377	0.00101192	0.00084729	0.00143426	0.00095473	0.000509504	0.000934281	0.000712841	0.000973327	0.000896334	0.00113537	0.000681887	0.00121052	0.000973996	0.00104306	0.00180649	0.00104306	0.000712293	0.00102319	0.000815111
Glycerol-3-phosphate cytidylyltransferase (2.7.7.39)	7.97542e-05	0.000195203	2.32429e-05	2.58546e-06	1.99892e-05	0.000199581	3.72555e-05	0.000107983	3.40267e-05	0.000142364	6.24141e-06	5.86502e-05	0.000175105	0.000115217	0.000153725	2.73666e-05	4.14666e-05	0.000274971	0.000147265	5.34338e-05	0.000283162	4.43019e-06	7.78586e-05	2.84085e-05	1.51276e-06	8.57215e-05	2.71565e-05	2.39387e-05	0.000208914	0.000173672	0.000129397	3.33114e-05	9.10984e-06	9.59561e-05	7.1662e-05	0.000157065	3.56312e-05	0.000105502	4.60598e-05	0.000298614	6.75394e-05	0.00012975	1.704e-05	0.000253923	0.000157338	0.000147813	0.000118712	0.000164046	1.53383e-05	0.00027434	2.85237e-05	0.000234553	8.57722e-05	0.000123688	1.87798e-05	7.15142e-05	8.45568e-05	7.52077e-05	0.000169249	7.33963e-05	0.000336312	3.87613e-05	0.000234392	7.40368e-05	6.38022e-05	0.000122964	9.23495e-05	0.000145568	0.000104677	3.53378e-05	0.00019565
Sulfate adenylyltransferase (2.7.7.4)	0.00101144	0.00249839	0.00251383	0.00183198	0.0019696	0.0017879	0.00220257	0.0019945	0.00233844	0.00166311	0.0014013	0.00202805	0.00232522	0.00183273	0.001896	0.00241695	0.00261656	0.00192699	0.00185105	0.00116682	0.00227583	0.00227615	0.00180358	0.00450448	0.00243072	0.00205974	0.00205804	0.00163813	0.0019408	0.00241518	0.00210985	0.00193093	0.00103856	0.00147041	0.00211198	0.00146195	0.00239184	0.000760424	0.00245321	0.000950269	0.00133934	0.00122201	0.00125761	0.00112281	0.0014028	0.00147562	0.00113609	0.00140168	0.00170884	0.001855	0.00210445	0.0023101	0.00237482	0.00222804	0.00165456	0.00137173	0.0012816	0.0024046	0.00161616	0.00154091	0.0025428	0.00237417	0.00163706	0.00207973	0.0021211	0.00264778	0.00302991	0.000793662	0.00176576	0.00204482	0.00195956
Phosphatidate cytidylyltransferase (2.7.7.41)	0.00193561	0.00117394	0.00178946	0.00136858	0.00168758	0.00224747	0.0014033	0.00172882	0.00197383	0.00141468	0.00102797	0.00133851	0.0015305	0.00143635	0.00198546	0.00138151	0.00197182	0.00199928	0.00273045	0.0015384	0.00164175	0.0015625	0.00173272	0.00187371	0.00148716	0.00180292	0.00180407	0.00191204	0.0018562	0.00160793	0.00163252	0.00178109	0.00130908	0.00148971	0.00167325	0.00174711	0.00164534	0.00165417	0.00155209	0.00139391	0.00133983	0.00129283	0.000730987	0.00130632	0.00152142	0.00149527	0.00133599	0.00145649	0.00136563	0.00164199	0.00166724	0.00168551	0.00172582	0.00159424	0.0016545	0.0016366	0.00174543	0.00163191	0.0015522	0.00151751	0.00196881	0.00161979	0.0015986	0.00164469	0.00163759	0.00170726	0.00178478	0.00186371	0.00147432	0.00150862	0.001619
[Glutamine synthetase] adenylyltransferase (2.7.7.42)	0.000491941	0.000155918	1.63844e-05	0.000727085	0.000188592	0.00126139	0.000196937	0.000102216	0.000303487	0.000290668	0.000879863	0.000689786	2.61722e-05	0.000330936	9.14735e-05	2.89334e-05	0.000291719	0.000646477	0.000679092	0.000178511	0.000504618	7.30882e-05	7.16259e-05	1.8022e-05	0.000403509	7.95333e-05	5.72937e-05	0.00015997	0.000522654	0.00010253	0.00011783	0.000183299	0.000483054	0.000382573	5.41183e-05	0.00074362	0.000260076	0.000353406	5.521e-05	0.000384078	0.00042105	0.00059719	0.00145708	0.000584867	0.0010001	6.8202e-05	0.000534268	0.00105991	0.000106513	3.32831e-05	4.41077e-05	3.20181e-06	6.09083e-05	0.000160205	2.1817e-05	5.81004e-05	4.71841e-05	5.71301e-05	1.48586e-05	1.01558e-05	0.000190208	0.000245163	0.000332708	9.08689e-05	4.65319e-05	5.69018e-05	8.3145e-05	0.000131092	0.000310574	6.32752e-05	1.27859e-05
