	A007	A008	A011	A016	A020	A024	A025	A033	A035	A036	A040	A042	A045	A052	A056	A060	A063	A002	A004	A006	A012	A014	A015	A018	A022	A026	A028	A030	A031	A032	A041	A044	A047	A050	A051	A057	A061	A062
PWY-5097: L-lysine biosynthesis VI	0.00672674	0.00947495	0.00680402	0.00702744	0.00650917	0.00972085	0.00822669	0.0105983	0.010389	0.00678796	0.00520474	0.00942051	0.0127513	0.0144554	0.00879351	0.00738976	0.011731	0.0151608	0.0143134	0.013852	0.0105776	0.00975775	0.0179093	0.00901414	0.0095689	0.00841054	0.011651	0.00716715	0.009798	0.0140615	0.010264	0.00808814	0.0104854	0.00913408	0.0106291	0.00974523	0.00590896	0.00892319
PWY-5100: pyruvate fermentation to acetate and lactate II	0.00147924	0.00543947	0.00104446	0.00313469	0.000648697	0.000232849	0.00417052	0.00214102	0.00247306	0.00486214	0.00307281	0.00148935	0.00278735	0.00100168	0.00174341	0.00148551	0.00413709	0.0048835	0.00157465	0.00319151	0.00088829	0.00230997	0.00231497	0.00254118	0.00130383	0.00301364	0.000309724	0.00135071	0.00194556	0.00226197	0.000513198	0.00188893	0.00143198	0.00130627	0.00620777	0.00255794	0.00484426	0.00417788
PWY-5103: L-isoleucine biosynthesis III	0.00646521	0.0103361	0.00371144	0.00668392	0.00640497	0.00911231	0.00709632	0.00611367	0.00838446	0.00704348	0.0073948	0.00909939	0.0165146	0.0164548	0.00913073	0.00824945	0.0141056	0.0211049	0.0183559	0.0142175	0.00814816	0.00535112	0.0214688	0.006724	0.00775318	0.00802073	0.00718611	0.00826263	0.00837009	0.0170555	0.0107476	0.00870116	0.00877218	0.00833354	0.00669098	0.00925714	0.00775562	0.00718296
PWY-5104: L-isoleucine biosynthesis IV	0.0010184	0.000354374	0.00136669	0.000313315	0.00136945	0.0	0.000466477	0.0	0.0	0.0	0.00039366	0.0	0.000198181	0.0	0.000595822	0.000822443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000256719	0.0	0.00110401	0.0	0.0	0.0	0.00106256	0.0	0.0	0.0	0.0	0.000286891	0.0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.00381658	0.0021163	0.00792096	0.00343404	0.00588103	0.00491294	0.00542775	0.00562084	0.00574677	0.00283586	0.00192711	0.00572069	0.00140877	0.00483854	0.000169478	0.0051917	0.00410261	0.000707966	0.00127505	0.00237814	0.00909261	0.00902687	0.000417731	0.00793479	0.00936932	0.00516599	0.0071514	0.00232349	0.00648101	0.00293176	0.00598821	0.00655394	0.00696512	0.00765079	0.00328736	0.00389504	0.00173143	0.00840073
PWY-5130: 2-oxobutanoate degradation I	0.000611416	0.000464504	0.0	0.000272014	0.000272302	0.000589865	0.000618948	0.000252434	0.0	0.000841275	5.40966e-05	0.00035896	0.000806373	0.000439156	0.00227567	0.0	0.00109952	0.000449741	0.000352525	0.000494331	0.0	0.00083469	0.0	0.000595734	0.0017925	0.00113133	0.00230739	0.0012547	0.00110247	0.000623938	0.0	0.00052676	0.000155968	0.0021412	0.000600287	0.00187621	0.000404236	0.0
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0.00253034	0.000995273	0.00206088	0.00163855	0.00262309	0.0	0.000383544	0.000194211	0.0	0.00230194	0.00362047	0.0	0.000405441	0.0	0.0016539	0.00120409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000689276	0.0	0.00211129	9.34183e-05	0.0	0.0	0.00109638	0.0	0.0	0.0	0.0	0.00357189	0.0
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	0.000424878	0.000245893	0.000452447	0.00119575	0.000767857	0.0	0.0	0.0	0.0	0.00150765	0.00112527	0.0	0.000193926	0.0	0.00069418	0.00054076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000114332	0.0	0.00048343	0.0	0.0	0.0	0.000357658	0.0	0.0	0.0	0.0	0.000663603	0.0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.00444007	0.00258292	0.00333345	0.00451564	0.00293041	0.00343282	0.00568331	0.00396381	0.00595414	0.00242724	0.00401527	0.00279759	0.00322963	0.00149329	0.00242585	0.00467297	0.00465524	0.00394139	0.00220828	0.00307128	0.00263174	0.00430988	0.00272523	0.00485987	0.00447912	0.00546882	0.00148663	0.00370912	0.00482655	0.00170017	0.00171689	0.00382159	0.00476967	0.00391802	0.00601135	0.00521781	0.00480171	0.00652074
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.00185452	0.00476278	0.00129795	0.0014116	0.00140847	0.000369714	0.00290842	0.000434312	0.00361335	0.00316416	0.00234736	0.0	0.000496794	0.000435546	0.00163324	0.000917119	0.000763866	0.000554449	0.000874775	0.000943322	0.000572907	0.00117519	0.00121227	0.00189241	0.00169726	0.00216709	0.000402032	0.00241518	0.00103559	0.000469101	0.000215661	0.00104549	0.000301362	0.000586269	0.00213763	0.00140817	0.00395769	0.00263166
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0.000898045	0.000653603	0.001286	0.000565537	0.00100563	0.0	0.00123532	0.0	0.0	0.00103985	0.00176075	0.0	0.00022484	0.000218506	0.000737397	0.000617102	0.0	0.0	0.0	0.000302448	0.0	0.0	0.000200875	0.0	0.0	0.000335219	0.0	0.00150335	0.0	0.0	0.0	0.000549278	0.0	0.0	0.000868206	0.0	0.0015492	0.0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0.0027765	0.00212878	0.00286484	0.00348678	0.00229481	0.0	0.00133165	0.0	0.0	0.00314663	0.00312013	0.0	0.000944606	0.0	0.00370326	0.00308541	0.0021233	0.00225654	0.00133968	0.00133444	0.0	0.0	0.00115441	0.0	0.0	0.00193455	0.0	0.00404481	0.000329195	0.0	0.0	0.00266227	0.000508619	0.0	0.0	0.0	0.00451864	0.0
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0.00193207	0.001098	0.00215111	0.00206907	0.00300068	0.0	0.000273727	0.0	0.0	0.00280628	0.00427272	0.0	0.00114242	0.0	0.00153296	0.00121375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000426356	0.0	0.0026831	0.0	0.0	0.0	0.00139132	0.0	0.0	0.000294332	0.0	0.00310271	0.0
PWY-5367: petroselinate biosynthesis	0.000698502	0.000468259	0.000560604	0.000458111	0.000659008	0.0	0.000286627	0.0	0.0	3.40936e-05	0.000948362	0.0	0.000368529	0.0	0.000636206	0.000415333	0.0	0.0	0.0	0.0	0.0	0.000184803	0.0	0.0	0.0	0.000324327	0.0	0.000601779	0.0	0.0	0.0	0.000715549	0.0	0.0	0.0	0.0	0.00118649	0.0
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0.00251164	0.00230042	0.00213748	0.00367647	0.00416629	0.00307793	0.00267118	0.00287398	0.00168121	0.00319603	0.00318846	0.00438517	0.00119779	0.00248953	0.00153064	0.00195862	0.00151204	0.000730489	0.0019075	0.00103545	0.00204642	0.00268638	0.00117077	0.00380213	0.00186028	0.00250718	0.000680785	0.00205925	0.00244855	0.000702462	0.00632671	0.00307883	0.00281566	0.00225521	0.00195215	0.00267291	0.00328455	0.00249271
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.00573268	0.00522545	0.00504808	0.00565044	0.00401558	0.00753544	0.00482494	0.005481	0.0033234	0.00430517	0.00506529	0.00471854	0.00364986	0.00170293	0.00638294	0.00526112	0.00259041	0.00110836	0.00221403	0.00469886	0.0063174	0.00305507	0.00174176	0.00329989	0.00414682	0.00462504	0.00363388	0.00579023	0.00370266	0.00270224	0.00436149	0.00458298	0.00753815	0.00687158	0.00378905	0.0058859	0.00578646	0.00334401
PWY-5497: purine nucleobases degradation II (anaerobic)	0.00253544	0.000270357	0.000858791	0.00100318	0.00240252	0.0	0.000873512	0.0	0.000468948	0.00158733	0.00112164	0.0	0.000170084	0.0	0.00180463	0.00159901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102978	0.0	0.000731718	0.000767281	0.0	0.0	0.00104032	0.000263116	0.0	0.0	0.0	0.000735563	0.0
PWY-5505: L-glutamate and L-glutamine biosynthesis	0.000456736	0.0017116	0.000428623	0.000977399	0.0	0.0	0.00063977	0.00109706	0.000315621	0.000571925	0.000778652	0.0	0.000947111	0.000293207	0.000462723	0.000420485	0.000780667	0.000396836	0.00102082	0.000616034	0.00017628	0.000846921	0.000491819	0.00107493	0.000490276	0.000585726	0.0	0.00136675	0.000243855	0.00198115	0.0	0.0019054	0.0005069	0.0	0.000781579	0.000757449	0.00143279	0.00121438
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0.002072	0.000825189	0.00170756	0.000794865	0.00215093	0.0	0.0	0.0	0.0	0.001701	0.00313006	0.0	0.000339809	0.0	0.00105461	0.00102562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000580227	0.0	0.00147704	0.0	0.0	0.0	0.000851888	0.0	0.0	0.0	0.0	0.0029247	0.0
PWY-5656: mannosylglycerate biosynthesis I	0.000953875	0.000107293	0.00139232	7.64936e-05	0.000900779	0.0	0.0	0.0	0.0	0.000110126	0.00184954	0.0	0.0	0.0	0.00018055	0.000410632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.89838e-05	0.0	0.00070783	0.0	0.0	0.0	0.000157192	0.0	0.0	0.0	0.0	0.00149682	0.0
PWY-5659: GDP-mannose biosynthesis	0.00462072	0.00186118	0.00553132	0.00375434	0.0033229	0.00584077	0.00431487	0.00507492	0.00373502	0.00394662	0.00372976	0.00452803	0.00167057	0.00300551	0.00623737	0.00402137	0.00302277	0.00111415	0.0013432	0.00172994	0.00842303	0.0051548	0.00111451	0.0043871	0.00724681	0.00422666	0.00167949	0.00210126	0.0048066	0.00219272	0.00500695	0.00389754	0.00606724	0.00692297	0.00300875	0.00494278	0.00338153	0.00318974
PWY-5667: CDP-diacylglycerol biosynthesis I	0.00775318	0.00731132	0.00767609	0.0079852	0.00680428	0.0101839	0.0090594	0.0114626	0.0116347	0.00658117	0.00507526	0.00983568	0.0114832	0.00689891	0.0085096	0.00878921	0.00925704	0.00478148	0.00284489	0.00820589	0.0120958	0.0106631	0.00265963	0.0105377	0.0106584	0.0093138	0.0140013	0.00683997	0.0102436	0.00655573	0.0108801	0.00801839	0.0114156	0.0101252	0.0111909	0.0108235	0.00509907	0.0105033
PWY-5675: nitrate reduction V (assimilatory)	0.00115463	0.000515354	0.00172686	0.000786269	0.00135251	0.0	0.000148249	0.0	0.0	0.000552981	0.00290731	0.0	0.00020798	0.0	0.000524981	0.000471479	0.0	0.0	0.0	0.0	8.2556e-05	0.0	0.0	0.0	0.0	0.0002553	0.0	0.00166949	0.0	0.0	0.0	0.000545464	0.0	0.0	6.13212e-05	0.0	0.00293146	0.0
PWY-5676: acetyl-CoA fermentation to butanoate II	0.000462327	0.00184366	0.00066427	0.000615407	0.0	0.0	0.000279945	0.0	0.000788484	0.00236095	0.00212379	0.0	0.0	0.0	0.000984271	0.0012111	0.0	0.0	0.00017314	0.000229687	0.0	0.000179236	0.0	0.000219447	0.0	0.000528578	0.0	0.00126542	0.000558786	0.00016327	0.0	0.000580239	0.000213707	0.000142968	0.00013755	0.000206112	0.00206477	0.000711381
PWY-5686: UMP biosynthesis I	0.00800922	0.00997741	0.00786478	0.00819389	0.00707232	0.0111412	0.0112554	0.0126512	0.0111442	0.00907147	0.00568466	0.0101044	0.0163812	0.0155859	0.00921734	0.0081727	0.0147199	0.0196067	0.0178255	0.0150321	0.0109302	0.0111232	0.0215868	0.0107862	0.0116421	0.0100419	0.0138818	0.00796686	0.0114586	0.0161195	0.0104301	0.00954868	0.0113952	0.010619	0.0151417	0.0111337	0.00613716	0.0119799
PWY-5690: TCA cycle II (plants and fungi)	0.000437396	0.0	0.000150052	0.00036964	0.0	0.0	0.000331381	0.0	0.0	0.0	0.000371844	0.000356415	0.0	0.0	0.0	0.00057595	0.0	0.0	0.0	0.0	0.0	0.000204582	0.0	0.0	0.000313124	0.000233779	0.0	0.0	0.0	0.0	0.0	0.000270207	0.000219808	0.0	0.000282144	0.0	0.0	0.0
PWY-5695: inosine 5'-phosphate degradation	0.00835228	0.00669398	0.00854397	0.00875775	0.00762277	0.0113373	0.01084	0.0130481	0.0103433	0.00745425	0.00756372	0.0113566	0.0138245	0.0159591	0.0098245	0.0102637	0.0134589	0.0130348	0.0140965	0.0153255	0.0123453	0.0118628	0.017694	0.0116572	0.0127775	0.00948977	0.0128562	0.00816438	0.0120636	0.0135346	0.012137	0.0106477	0.0119706	0.0123212	0.0121339	0.0117743	0.00628734	0.0110613
PWY-5705: allantoin degradation to glyoxylate III	0.000464023	0.000135604	0.000342502	9.06349e-05	0.000284433	0.0	0.0	0.0	0.0	6.53577e-05	0.0010454	0.0	0.0	0.0	0.000154072	8.30568e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010738	0.0	0.000190808	0.0	0.0	0.0	0.000193072	0.0	0.0	0.0	0.0	0.00028324	0.0
PWY-5723: Rubisco shunt	0.0026188	0.000686875	0.00221337	0.00184936	0.00233235	0.0	0.000477117	0.0	0.0	0.00225006	0.00374773	0.0	0.0005183	0.0	0.00109019	0.00116476	0.000526584	0.0	0.0	0.0	0.000171764	0.0	0.0	0.0	0.0	0.000514257	0.0	0.00183223	0.0	0.0	0.0	0.00112733	0.0	0.0	8.88142e-05	0.0	0.00294764	0.0
PWY-5747: 2-methylcitrate cycle II	0.000274016	2.49092e-05	8.95073e-05	0.000184917	7.97393e-05	0.0	0.0	0.0	0.0	0.000191345	0.000197265	0.0	0.0	0.0	0.0	0.00011083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.02615e-05	0.0	0.000483014	0.0	0.0	0.0	7.58526e-05	0.0	0.0	0.0	0.0	0.000281048	0.0
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	0.00108135	0.000254928	0.00120064	0.000696627	0.00144169	0.000258874	0.000119412	0.0	0.0	0.0014279	0.00157087	0.00166825	0.0	0.0	0.000286791	0.00091344	0.000352107	0.0	0.00041469	0.000362363	0.0	0.0	0.0	0.0	0.0	0.00035	0.0	0.000827807	0.000514079	0.0	0.0	0.000660467	0.0	0.0	0.0	0.0	0.00127358	0.0
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0.00262788	0.000760113	0.00297704	0.00178292	0.00321562	0.000831072	0.000389288	0.0	0.0	0.00126246	0.00253893	0.003683	0.0	0.0	0.000839358	0.00246427	0.0010765	0.0	0.000989388	0.0011305	0.0	0.0	0.0	0.0	0.0	0.00105908	0.0	0.00211218	0.00153806	0.0	0.0	0.0017936	0.0	0.0	0.0	0.0	0.00219975	0.0
PWY-5840: superpathway of menaquinol-7 biosynthesis	0.00139014	0.000634655	0.00237293	0.00122021	0.00221966	0.0	0.000330072	0.0	0.0	0.0014575	0.0020992	0.0	0.0	0.0	0.000713967	0.00196901	0.00060213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00071053	0.0	0.00163706	0.000728357	0.0	0.0	0.000757537	0.0	0.0	0.0	0.0	0.00197359	0.0
PWY-5845: superpathway of menaquinol-9 biosynthesis	0.00227803	0.000498821	0.00237293	0.00161485	0.00221966	0.000623579	0.000373006	0.0	0.0	0.000971517	0.0020992	0.00353131	0.0	0.0	0.000660453	0.00228868	0.000890727	0.0	0.000748983	0.000909574	0.0	0.0	0.0	0.0	0.0	0.000912415	0.0	0.00163706	0.00136351	0.0	0.0	0.00165146	0.0	0.0	0.0	0.0	0.00197359	0.0
PWY-5850: superpathway of menaquinol-6 biosynthesis	0.00139014	0.00043696	0.00237293	0.00122021	0.00221966	0.0	0.0	0.0	0.0	0.000971517	0.0020992	0.0	0.0	0.0	0.000660453	0.00196901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00071053	0.0	0.00163706	0.0	0.0	0.0	0.000757537	0.0	0.0	0.0	0.0	0.00197359	0.0
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	6.56234e-05	5.19552e-05	8.43442e-05	0.000578442	0.000138487	0.0	0.0	0.0	0.0	0.000651784	0.000322454	0.0	5.69819e-05	0.0	0.0	0.000100716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000427337	0.0	0.0	0.0	0.000208284	0.0	0.0	0.0	0.0	0.000114164	0.0
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	0.00100593	0.000297705	0.00178752	0.000888845	0.00167816	0.0	0.0	0.0	0.0	0.000759435	0.00165768	0.0	0.0	0.0	0.000454632	0.00143677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000492061	0.0	0.00118712	0.0	0.0	0.0	0.000522382	0.0	0.0	0.0	0.0	0.00168144	0.0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	0.00205814	0.000526422	0.00231933	0.00135671	0.00258676	0.000572908	0.000265106	0.0	0.0	0.00104064	0.00208552	0.00290986	0.0	0.0	0.000582923	0.00184196	0.000740525	0.0	0.000675045	0.000777164	0.0	0.0	0.0	0.0	0.0	0.000747669	0.0	0.00157169	0.00108557	0.0	0.0	0.00129784	0.0	0.0	0.0	0.0	0.00193579	0.0
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	0.00174357	0.000340911	0.00178752	0.00121265	0.00167816	0.000426248	0.000253789	0.0	0.0	0.000759435	0.00165768	0.0027689	0.0	0.0	0.000454632	0.00169606	0.000609383	0.0	0.000508128	0.000621503	0.0	0.0	0.0	0.0	0.0	0.000638914	0.0	0.00118712	0.000956002	0.0	0.0	0.00118695	0.0	0.0	0.0	0.0	0.00168144	0.0
PWY-5896: superpathway of menaquinol-10 biosynthesis	0.00139014	0.00043696	0.00237293	0.00122021	0.00221966	0.0	0.0	0.0	0.0	0.000971517	0.0020992	0.0	0.0	0.0	0.000660453	0.00196901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00071053	0.0	0.00163706	0.0	0.0	0.0	0.000757537	0.0	0.0	0.0	0.0	0.00197359	0.0
PWY-5897: superpathway of menaquinol-11 biosynthesis	0.0024224	0.000698595	0.00273154	0.00163841	0.00301336	0.000735644	0.000343783	0.0	0.0	0.00145132	0.00249658	0.00351961	0.0	0.0	0.000796499	0.00224645	0.000964421	0.0	0.00103879	0.00102094	0.0	0.0	0.0	0.0	0.0	0.000947222	0.0	0.00199468	0.00138139	0.0	0.0	0.00163344	0.0	0.0	0.0	0.0	0.00215315	0.0
PWY-5898: superpathway of menaquinol-12 biosynthesis	0.0024224	0.000698595	0.00273154	0.00163841	0.00301336	0.000735644	0.000343783	0.0	0.0	0.00145132	0.00249658	0.00351961	0.0	0.0	0.000796499	0.00224645	0.000964421	0.0	0.00103879	0.00102094	0.0	0.0	0.0	0.0	0.0	0.000947222	0.0	0.00199468	0.00138139	0.0	0.0	0.00163344	0.0	0.0	0.0	0.0	0.00215315	0.0
PWY-5899: superpathway of menaquinol-13 biosynthesis	0.0024224	0.000698595	0.00273154	0.00163841	0.00301336	0.000735644	0.000343783	0.0	0.0	0.00145132	0.00249658	0.00351961	0.0	0.0	0.000796499	0.00224645	0.000964421	0.0	0.00103879	0.00102094	0.0	0.0	0.0	0.0	0.0	0.000947222	0.0	0.00199468	0.00138139	0.0	0.0	0.00163344	0.0	0.0	0.0	0.0	0.00215315	0.0
PWY-5913: partial TCA cycle (obligate autotrophs)	0.00152393	0.00151932	0.00207598	0.00105648	0.00211543	0.0	0.000686132	0.0	0.000160749	0.0016719	0.00301533	0.0	0.00036203	0.0	0.0008698	0.00123064	0.0	0.0	0.0	0.000400247	0.0	0.0	0.0	0.0	0.0	0.000726886	0.0	0.00193097	0.000157501	0.0	0.0	0.000856914	0.0	0.0	0.000272422	0.0	0.00340214	0.0
PWY-5918: superpathway of heme b biosynthesis from glutamate	0.00111127	0.000519867	0.00114086	0.000946274	0.0011786	0.0	0.0	0.0	0.0	0.00154302	0.00218333	0.0	0.000368344	0.000301731	0.000663754	0.000763578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000481416	0.0	0.00136581	0.0	0.0	0.0	0.000652659	0.0	0.0	0.0	0.0	0.00164734	0.0
PWY-5920: superpathway of heme b biosynthesis from glycine	0.00078332	0.000257884	0.000868506	0.000652097	0.000921586	0.0	0.0	0.0	0.0	0.00108881	0.00131213	0.0	0.0	0.0	0.000285024	0.000637029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000110946	0.0	0.00051784	0.0	0.0	0.0	0.000511328	0.0	0.0	0.0	0.0	0.00102921	0.0
PWY-5941: glycogen degradation II	0.00582061	0.00967876	0.00372126	0.00720262	0.00423519	0.00568778	0.010292	0.00611088	0.00549094	0.00981755	0.00769458	0.00702106	0.00500189	0.0082612	0.00501681	0.00414312	0.00850462	0.00718587	0.00467743	0.00365536	0.00404112	0.00561751	0.00366539	0.00649424	0.00383089	0.00673259	0.00340834	0.00450879	0.00705002	0.0077766	0.00376827	0.00630757	0.00687269	0.00441885	0.00912145	0.00717368	0.00864842	0.0100442
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	0.00437505	0.0023008	0.00509115	0.00370753	0.0052092	0.0	0.00238308	0.0	0.0	0.00173395	0.00486974	0.0	0.000749343	0.0	0.00337699	0.00468399	0.0	0.0	0.0	0.0	0.0	0.00376318	0.0	0.0	0.0	0.00390754	0.0	0.00486009	0.0	0.0	0.0	0.00438842	0.0	0.0	0.0	0.0	0.00362408	0.0
PWY-5973: cis-vaccenate biosynthesis	0.00758284	0.00561051	0.00634236	0.00705002	0.00803105	0.0109976	0.00784605	0.0117386	0.00922522	0.00389082	0.00538881	0.0119809	0.0056791	0.00442101	0.00955786	0.0084705	0.00871252	0.0034961	0.00560615	0.00706922	0.0113581	0.0105341	0.00248642	0.010684	0.0100346	0.00875208	0.0119528	0.00856701	0.0106027	0.00599677	0.0124194	0.00763537	0.0113365	0.0106621	0.00817287	0.0104369	0.00383879	0.00802323
PWY-5981: CDP-diacylglycerol biosynthesis III	0.000456314	0.00374126	0.000594406	0.000946362	0.00076549	0.0	0.0	0.000228908	0.00235387	0.00141059	0.00161836	0.0	0.000686722	0.0	0.0	0.0	0.0	0.0	0.000278899	0.000452202	0.0	0.0	0.0	0.000445456	0.000227176	0.000183742	0.0	0.00290963	0.0	0.0	0.0	0.000219845	0.0	0.0	0.0	0.0	0.00109404	0.0
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.00378782	0.0017462	0.00561388	0.00317584	0.00483893	0.00164073	0.0018386	0.00193409	0.00229096	0.00268385	0.00472633	0.00309796	0.000534881	0.00139137	0.00243615	0.00432039	0.0021794	0.0	0.00126459	0.00140007	0.00384864	0.00357547	0.0	0.00542087	0.000692587	0.00341551	0.00179879	0.00410806	0.00256067	0.0	0.00214414	0.00393634	0.00174225	0.00299324	0.00121732	0.00104136	0.00331768	0.00061955
PWY-6071: superpathway of phenylethylamine degradation	0.000237444	0.0	0.000106972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000184546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.76879e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000116589	0.0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.00784746	0.00905436	0.00855716	0.00720164	0.0073056	0.0111356	0.00922009	0.0116097	0.01032	0.00813915	0.00580755	0.00957256	0.00638523	0.00855633	0.00888253	0.00777495	0.00906594	0.00635832	0.00580074	0.00847528	0.0117628	0.0109237	0.0032506	0.0100698	0.0103021	0.00927676	0.0109934	0.00748741	0.0109321	0.00699171	0.00988286	0.00852838	0.0108596	0.0107061	0.0110301	0.0104254	0.00662437	0.00860375
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.00797474	0.00916991	0.00834265	0.00703514	0.00735901	0.0110928	0.00907194	0.0112662	0.010208	0.00822407	0.00651423	0.00941423	0.0139306	0.0153028	0.00862478	0.00748865	0.0125722	0.0164428	0.0160944	0.0137534	0.0116437	0.0108491	0.0198903	0.00996054	0.0100645	0.00908731	0.0102289	0.00745215	0.0108618	0.0148932	0.00966011	0.0093397	0.0106866	0.0105645	0.011268	0.0101583	0.00695724	0.00842475
PWY-6123: inosine-5'-phosphate biosynthesis I	0.00679563	0.00804573	0.00781171	0.00692061	0.00710315	0.0117089	0.00865438	0.0120145	0.0108708	0.00386753	0.00411217	0.0103966	0.00532121	0.00845547	0.00949443	0.00868674	0.0079226	0.005905	0.00469088	0.0060927	0.0115786	0.0109238	0.00337199	0.00993917	0.0111607	0.00835733	0.011202	0.00787976	0.0103843	0.00640818	0.0110612	0.00810371	0.0111146	0.0114806	0.00985203	0.00990689	0.00478256	0.00888063
PWY-6124: inosine-5'-phosphate biosynthesis II	0.00669785	0.00791492	0.00792094	0.00701106	0.00694545	0.0117067	0.00854599	0.0122066	0.0108037	0.00352337	0.00393962	0.010373	0.00472228	0.00782132	0.00949601	0.00878965	0.00737862	0.0052711	0.0041254	0.00549851	0.0116262	0.0107496	0.00289018	0.00990803	0.0111163	0.0081771	0.0109712	0.00798395	0.0102105	0.00586264	0.0111141	0.00783913	0.0110396	0.0115543	0.00935089	0.00981643	0.00455704	0.00860563
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0.00523386	0.00312688	0.00811513	0.00632015	0.00728963	0.00897664	0.00605485	0.00891074	0.00800964	0.00245956	0.00269116	0.00908969	0.00361028	0.00594285	0.0100769	0.00740956	0.00544946	0.00217272	0.0031005	0.00436824	0.00963098	0.00986807	0.00110163	0.00898375	0.0105414	0.00603657	0.00950726	0.00614575	0.00757497	0.00493893	0.011258	0.0078261	0.00860937	0.00998878	0.00457872	0.00525851	0.00183306	0.00833719
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.0062039	0.00418466	0.00902261	0.00733149	0.00784947	0.0102277	0.00768267	0.0104387	0.00975089	0.00336206	0.00349164	0.010297	0.00470872	0.00711222	0.0105727	0.00821431	0.00675301	0.00294165	0.00401573	0.00600257	0.0108928	0.0114523	0.00153584	0.01048	0.0120155	0.00766089	0.01176	0.00724582	0.00929142	0.00598517	0.0122884	0.00832857	0.0103341	0.0110607	0.00618658	0.00690019	0.00254494	0.0101336
PWY-6143: CMP-pseudaminate biosynthesis	0.0	9.13111e-05	0.0	0.0	0.0	0.000267287	0.000196505	0.0	0.000108322	0.0	0.0	0.0	0.0	0.000269046	0.0	0.0	0.0	0.0	0.0	0.000145957	0.0	0.0	0.0	0.0	0.0	0.000121928	0.0	0.000268911	0.0	0.000254288	0.000652386	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.00591902	0.00173339	0.00778907	0.0057064	0.00704382	0.0086281	0.00489794	0.0083247	0.00494076	0.00153608	0.00258677	0.00842628	0.0106866	0.0147526	0.00770376	0.00788848	0.0114828	0.0147484	0.0144796	0.0038434	0.011109	0.00926712	0.0187185	0.00748906	0.00922378	0.00641343	0.00868819	0.00413125	0.00643928	0.0138776	0.0091664	0.0091307	0.00888036	0.0104039	0.00387016	0.00679564	0.00249286	0.00628944
